movie_id,title,release_year,release_month,runtime,country,language,mpaa_rating,primary_genre,secondary_genre,theme,tags_str
mv00001,The Dark Knight,2008,7,152,USA,English,PG-13,Action,Drama,Justice,Cult Classic;Oscar Winner;Netflix;Based on Book;Amazon Prime;Graphic Violence
mv00002,Mad Max: Fury Road,2015,5,120,Australia,English,R,Action,SciFi,Survival,Cult Classic;Festival Favorite;Oscar Winner;Amazon Prime;Graphic Violence
mv00003,John Wick,2014,10,101,USA,English,R,Action,Thriller,Revenge,Cult Classic;Netflix;Amazon Prime;Graphic Violence
mv00004,The Grand Budapest Hotel,2014,3,99,USA,English,R,Comedy,Drama,Coming of Age,Independent Film;Festival Favorite;Oscar Winner;Amazon Prime;Hulu
mv00005,Superbad,2007,8,113,USA,English,R,Comedy,Drama,Coming of Age,Cult Classic;Netflix;Amazon Prime;Strong Romance
mv00006,The Shawshank Redemption,1994,9,142,USA,English,R,Drama,Thriller,Redemption,Cult Classic;Based on Book;Amazon Prime
mv00007,Parasite,2019,10,132,USA,Multilingual,R,Drama,Thriller,Betrayal,Independent Film;Festival Favorite;Oscar Winner;Amazon Prime;Hulu
mv00008,12 Years a Slave,2013,10,134,USA,English,R,Drama,Documentary,Survival,Historical;Oscar Winner;Based on Book;Amazon Prime;Biographical;Sequel
mv00009,Get Out,2017,2,104,USA,English,R,Horror,Thriller,Survival,Cult Classic;Amazon Prime;Graphic Violence;Oscar Winner
mv00010,The Conjuring,2013,7,112,USA,English,R,Horror,Thriller,Survival,Based on Book;Amazon Prime;HBO Max;Graphic Violence
mv00011,Halloween,1978,10,91,USA,English,R,Horror,Thriller,Survival,Cult Classic;Halloween;Amazon Prime;Peacock;Graphic Violence
mv00012,Inception,2010,7,148,USA,English,PG-13,SciFi,Action,Redemption,Cult Classic;Amazon Prime;HBO Max;Oscar Winner
mv00013,Blade Runner 2049,2017,10,164,USA,English,R,SciFi,Drama,Coming of Age,Festival Favorite;Amazon Prime;Sequel;Oscar Winner
mv00014,The Matrix,1999,3,136,USA,English,R,SciFi,Action,Heroism,Cult Classic;Amazon Prime;HBO Max;Oscar Winner
mv00015,La La Land,2016,12,128,USA,English,PG-13,Romance,Drama,Love,Oscar Winner;Netflix;Amazon Prime;Valentine;Strong Romance
mv00016,The Notebook,2004,6,123,USA,English,PG-13,Romance,Drama,Love,Based on Book;Netflix;Amazon Prime;Valentine;Strong Romance
mv00017,Eternal Sunshine of the Spotless Mind,2004,3,108,USA,English,R,Romance,SciFi,Love,Cult Classic;Amazon Prime;Strong Romance;Independent Film
mv00018,Free Solo,2018,9,100,USA,English,PG-13,Documentary,Drama,Heroism,Festival Favorite;Disney+;Amazon Prime;Oscar Winner
mv00019,March of the Penguins,2005,6,80,USA,English,G,Documentary,Drama,Survival,Family Friendly;Disney+;Amazon Prime;Oscar Winner
mv00020,Spider-Man: Into the Spider-Verse,2018,12,117,USA,English,PG,Animation,Action,Heroism,Family Friendly;Oscar Winner;Based on Book;Netflix;Amazon Prime
mv00021,Coco,2017,11,105,USA,English,PG,Animation,Fantasy,Coming of Age,Family Friendly;Disney+;Amazon Prime;Oscar Winner
mv00022,Toy Story 4,2019,6,100,USA,English,G,Animation,Comedy,Coming of Age,Family Friendly;Disney+;Amazon Prime;Oscar Winner
mv00023,Gone Girl,2014,10,149,USA,English,R,Thriller,Drama,Betrayal,Cult Classic;Based on Book;Amazon Prime;Hulu
mv00024,Zodiac,2007,3,157,USA,English,R,Thriller,Drama,Justice,Cult Classic;Based on Book;Amazon Prime
mv00025,Pan's Labyrinth,2006,12,118,USA,Spanish,R,Fantasy,Drama,Coming of Age,HBO Max;Independent Film;Festival Favorite;Oscar Winner;Amazon Prime
mv00026,The Shape of Water,2017,12,123,USA,English,R,Fantasy,Romance,Love,Festival Favorite;Oscar Winner;Amazon Prime;Strong Romance;Hulu
mv00027,Home Alone,1990,11,103,USA,English,PG,Comedy,Fantasy,Coming of Age,Cult Classic;Family Friendly;Christmas;Disney+;Amazon Prime
mv00028,Die Hard,1988,7,132,USA,English,R,Action,Thriller,Heroism,Cult Classic;Christmas;Amazon Prime;Hulu;Graphic Violence
mv00029,Love Actually,2003,11,135,UK,English,R,Romance,Comedy,Love,Christmas;Netflix;Amazon Prime;Valentine;Strong Romance
mv00030,The Nightmare Before Christmas,1993,10,76,USA,English,PG,Animation,Fantasy,Coming of Age,Cult Classic;Family Friendly;Christmas;Halloween;Disney+;Amazon Prime
mv00031,Dangal,2016,12,161,India,Hindi,PG,Drama,Documentary,Heroism,Family Friendly;Based on Book;Netflix;Bollywood;Amazon Prime;Biographical
mv00032,3 Idiots,2009,12,170,India,Hindi,PG-13,Comedy,Drama,Coming of Age,Cult Classic;Bollywood;Based on Book;Amazon Prime
mv00033,Baahubali: The Beginning,2015,7,159,India,Multilingual,PG-13,Action,Fantasy,Heroism,Festival Favorite;Netflix;Amazon Prime;Regional Cinema
